ProductCategoryName,ProductName,TotalSales
Category 8,Product 827,1166
Category 9,Product 908,1165
Category 2,Product 851,1164
Category 4,Product 733,1163
Category 1,Product 850,1162
Category 4,Product 923,1161
Category 6,Product 625,1159
Category 10,Product 129,1159
Category 7,Product 966,1157
Category 9,Product 58,1156
Category 7,Product 406,1154
Category 1,Product 710,1154
Category 1,Product 260,1151
Category 4,Product 373,1149
Category 6,Product 945,1147
Category 6,Product 375,1145
Category 6,Product 505,1143
Category 5,Product 144,1142
Category 9,Product 608,1141
Category 8,Product 697,1139
Category 8,Product 67,1139
Category 10,Product 209,1132
Category 7,Product 756,1131
Category 3,Product 112,1129
Category 6,Product 325,1128
Category 6,Product 875,1128
Category 2,Product 51,1127
Category 5,Product 694,1126
Category 1,Product 630,1125
Category 1,Product 220,1125
Category 1,Product 550,1123
Category 9,Product 778,1123
Category 3,Product 832,1122
Category 2,Product 701,1119
Category 7,Product 656,1115
Category 10,Product 889,1115
Category 5,Product 914,1115
Category 8,Product 907,1113
Category 10,Product 609,1113
Category 5,Product 354,1112
Category 5,Product 954,1111
Category 9,Product 398,1110
Category 5,Product 454,1107
Category 4,Product 343,1105
Category 1,Product 150,1104
Category 7,Product 216,1102
Category 9,Product 328,1099
Category 4,Product 653,1097
Category 6,Product 575,1096
Category 1,Product 830,1094
Category 10,Product 269,1092
Category 6,Product 165,1091
Category 6,Product 5,1091
Category 5,Product 794,1091
Category 7,Product 696,1091
Category 3,Product 262,1089
Category 2,Product 201,1088
Category 1,Product 140,1088
Category 10,Product 449,1088
Category 8,Product 47,1086
Category 7,Product 506,1083
Category 7,Product 486,1080
Category 5,Product 804,1079
Category 1,Product 840,1079
Category 4,Product 953,1078
Category 7,Product 126,1078
Category 9,Product 278,1077
Category 5,Product 574,1076
Category 4,Product 3,1074
Category 4,Product 153,1073
Category 2,Product 511,1073
Category 7,Product 896,1073
Category 10,Product 169,1069
Category 8,Product 217,1065
Category 9,Product 718,1064
Category 4,Product 943,1059
Category 9,Product 698,1058
Category 3,Product 62,1058
Category 9,Product 468,1054
Category 6,Product 185,1053
Category 1,Product 340,1053
Category 5,Product 764,1053
Category 10,Product 759,1050
Category 3,Product 642,1049
Category 8,Product 87,1047
Category 6,Product 455,1047
Category 3,Product 982,1045
Category 8,Product 967,1044
Category 7,Product 376,1039
Category 9,Product 98,1037
Category 9,Product 868,1037
Category 5,Product 74,1037
Category 6,Product 785,1036
Category 6,Product 975,1035
Category 2,Product 741,1032
Category 5,Product 734,1027
Category 3,Product 992,1027
Category 5,Product 44,1027
Category 8,Product 137,1027
Category 4,Product 393,1026
Category 4,Product 353,1024
Category 3,Product 682,1021
Category 8,Product 667,1017
Category 3,Product 442,1017
Category 1,Product 30,1012
Category 7,Product 726,1011
Category 3,Product 72,1009
Category 10,Product 729,1008
Category 4,Product 853,1006
Category 8,Product 37,1006
Category 4,Product 123,1003
Category 6,Product 25,1001
Category 9,Product 388,1000
Category 7,Product 956,998
Category 9,Product 788,995
Category 6,Product 795,992
Category 6,Product 135,991
Category 5,Product 344,990
Category 10,Product 49,988
Category 2,Product 631,988
Category 9,Product 948,987
Category 7,Product 166,986
Category 8,Product 507,985
Category 4,Product 483,985
Category 3,Product 562,982
Category 4,Product 573,978
Category 4,Product 563,975
Category 4,Product 63,975
Category 6,Product 445,968
Category 5,Product 874,965
Category 6,Product 275,964
Category 6,Product 495,961
Category 2,Product 891,960
Category 3,Product 502,958
Category 3,Product 422,957
Category 7,Product 386,954
Category 1,Product 610,954
Category 2,Product 291,953
Category 1,Product 50,951
Category 5,Product 714,950
Category 2,Product 331,949
Category 10,Product 359,947
Category 2,Product 961,947
Category 1,Product 660,945
Category 2,Product 761,944
Category 5,Product 324,942
Category 10,Product 119,940
Category 3,Product 862,935
Category 6,Product 895,934
Category 4,Product 283,933
Category 8,Product 7,932
Category 3,Product 152,928
Category 4,Product 103,926
Category 2,Product 681,921
Category 10,Product 639,919
Category 6,Product 255,919
Category 8,Product 387,919
Category 6,Product 665,918
Category 4,Product 983,917
Category 3,Product 622,916
Category 7,Product 446,916
Category 8,Product 647,911
Category 7,Product 926,908
Category 10,Product 989,907
Category 2,Product 281,905
Category 3,Product 662,901
Category 9,Product 928,898
Category 7,Product 76,897
Category 4,Product 203,894
Category 5,Product 524,891
Category 7,Product 636,889
Category 5,Product 724,889
Category 2,Product 971,885
Category 4,Product 313,883
Category 7,Product 996,882
Category 5,Product 984,877
Category 4,Product 33,876
Category 4,Product 633,875
Category 1,Product 740,874
Category 7,Product 136,874
Category 6,Product 45,874
Category 8,Product 577,872
Category 2,Product 821,870
Category 7,Product 416,866
Category 5,Product 214,865
Category 10,Product 439,863
Category 6,Product 965,860
Category 1,Product 300,859
Category 4,Product 23,857
Category 3,Product 632,855
Category 6,Product 435,853
Category 10,Product 519,851
Category 8,Product 737,851
Category 1,Product 160,846
Category 4,Product 133,845
Category 2,Product 921,845
Category 9,Product 108,843
Category 6,Product 305,843
Category 2,Product 381,843
Category 6,Product 695,841
Category 6,Product 675,838
Category 5,Product 224,838
Category 7,Product 296,836
Category 6,Product 235,835
Category 7,Product 6,830
Category 7,Product 536,829
Category 8,Product 877,829
Category 4,Product 893,827
Category 9,Product 358,827
Category 10,Product 349,823
Category 6,Product 715,822
Category 10,Product 899,821
Category 4,Product 793,820
Category 5,Product 854,819
Category 1,Product 690,817
Category 10,Product 549,817
Category 1,Product 200,816
Category 7,Product 646,815
Category 4,Product 833,815
Category 2,Product 651,814
Category 6,Product 355,810
Category 10,Product 689,808
Category 8,Product 917,805
Category 6,Product 365,805
Category 3,Product 242,803
Category 2,Product 441,802
Category 1,Product 210,797
Category 1,Product 110,796
Category 5,Product 844,794
Category 8,Product 497,792
Category 2,Product 941,790
Category 2,Product 711,788
Category 1,Product 500,787
Category 10,Product 629,785
Category 9,Product 968,785
Category 8,Product 947,784
Category 5,Product 484,778
Category 3,Product 672,776
Category 6,Product 685,770
Category 5,Product 284,769
Category 8,Product 337,769
Category 9,Product 238,767
Category 3,Product 772,763
Category 2,Product 371,761
Category 4,Product 233,751
Category 5,Product 474,750
Category 2,Product 831,750
Category 7,Product 456,749
Category 3,Product 412,744
Category 3,Product 212,744
Category 7,Product 986,741
Category 10,Product 999,738
Category 5,Product 594,735
Category 9,Product 258,733
Category 1,Product 810,732
Category 8,Product 567,726
Category 7,Product 46,721
Category 9,Product 798,720
Category 5,Product 704,717
Category 9,Product 458,717
Category 9,Product 28,713
Category 4,Product 963,712
Category 10,Product 219,708
Category 6,Product 635,702
Category 5,Product 94,698
Category 4,Product 463,698
Category 10,Product 709,697
Category 8,Product 977,691
Category 2,Product 721,690
Category 7,Product 146,688
Category 2,Product 771,684
Category 2,Product 901,678
Category 9,Product 448,677
Category 1,Product 450,671
Category 1,Product 970,669
Category 2,Product 861,669
Category 1,Product 910,665
Category 10,Product 9,661
Category 6,Product 825,661
Category 6,Product 985,660
Category 3,Product 272,660
Category 2,Product 261,657
Category 4,Product 723,651
Category 8,Product 207,648
Category 3,Product 172,648
Category 7,Product 776,647
Category 6,Product 475,646
Category 5,Product 314,645
Category 9,Product 548,641
Category 5,Product 604,640
Category 7,Product 576,633
Category 10,Product 699,632
Category 7,Product 796,624
Category 4,Product 183,622
Category 9,Product 538,621
Category 6,Product 915,620
Category 5,Product 414,615
Category 1,Product 1000,612
Category 3,Product 912,609
Category 10,Product 789,608
Category 10,Product 979,606
Category 5,Product 84,605
Category 10,Product 459,605
Category 9,Product 618,604
Category 9,Product 178,603
Category 3,Product 592,602
Category 1,Product 280,601
Category 9,Product 678,601
Category 10,Product 599,600
Category 2,Product 491,599
Category 4,Product 193,592
Category 9,Product 38,590
Category 1,Product 250,589
Category 6,Product 345,587
Category 5,Product 624,586
Category 10,Product 739,580
Category 10,Product 509,579
Category 2,Product 91,572
Category 3,Product 232,569
Category 9,Product 88,568
Category 8,Product 97,566
Category 3,Product 282,566
Category 9,Product 188,564
Category 3,Product 462,564
Category 10,Product 339,558
Category 1,Product 990,554
Category 10,Product 319,548
Category 3,Product 252,547
Category 10,Product 369,543
Category 2,Product 141,542
Category 8,Product 287,538
Category 6,Product 855,535
Category 3,Product 452,534
Category 7,Product 686,533
Category 1,Product 240,532
Category 3,Product 192,530
Category 5,Product 774,527
Category 5,Product 14,525
Category 2,Product 161,524
Category 7,Product 566,523
Category 8,Product 987,522
Category 8,Product 757,521
Category 4,Product 753,513
Category 2,Product 591,513
Category 4,Product 993,512
Category 10,Product 409,510
Category 5,Product 204,508
Category 10,Product 469,505
Category 6,Product 725,505
Category 10,Product 849,503
Category 2,Product 251,502
Category 9,Product 318,502
Category 2,Product 351,501
Category 8,Product 957,500
Category 4,Product 273,495
Category 1,Product 120,495
Category 7,Product 516,493
Category 8,Product 277,490
Category 10,Product 539,481
Category 1,Product 520,481
Category 5,Product 194,478
Category 6,Product 735,476
Category 4,Product 223,472
Category 3,Product 332,471
Category 3,Product 162,471
Category 7,Product 86,468
Category 1,Product 170,467
Category 5,Product 264,466
Category 5,Product 974,466
Category 8,Product 747,464
Category 9,Product 498,462
Category 3,Product 492,461
Category 5,Product 374,458
Category 1,Product 590,457
Category 3,Product 352,455
Category 2,Product 481,454
Category 9,Product 758,451
Category 4,Product 883,450
Category 5,Product 744,445
Category 6,Product 75,441
Category 3,Product 652,437
Category 1,Product 640,435
Category 9,Product 978,435
Category 8,Product 367,433
Category 5,Product 24,433
Category 3,Product 92,429
Category 7,Product 346,419
Category 9,Product 518,418
Category 5,Product 664,416
Category 5,Product 824,416
Category 1,Product 700,414
Category 9,Product 588,413
Category 7,Product 366,410
Category 10,Product 99,409
Category 3,Product 742,408
Category 1,Product 600,405
Category 4,Product 503,401
Category 1,Product 90,401
Category 10,Product 769,398
Category 2,Product 271,398
Category 3,Product 342,394
Category 1,Product 40,394
Category 5,Product 754,394
Category 9,Product 78,393
Category 1,Product 900,393
Category 1,Product 180,385
Category 10,Product 839,379
Category 4,Product 583,377
Category 10,Product 419,376
Category 7,Product 176,376
Category 5,Product 924,373
Category 7,Product 946,373
Category 3,Product 812,372
Category 7,Product 806,365
Category 8,Product 247,364
Category 7,Product 596,364
Category 8,Product 27,359
Category 2,Product 641,357
Category 3,Product 532,355
Category 6,Product 885,354
Category 9,Product 298,348
Category 1,Product 400,341
Category 10,Product 869,339
Category 3,Product 572,325
Category 10,Product 309,321
Category 5,Product 884,318
Category 5,Product 904,318
Category 1,Product 650,313
Category 7,Product 286,313
Category 4,Product 453,311
Category 8,Product 607,309
Category 6,Product 315,304
Category 3,Product 182,303
Category 3,Product 482,302
Category 8,Product 687,291
Category 5,Product 934,285
Category 2,Product 611,280
Category 8,Product 417,274
Category 9,Product 208,268
Category 9,Product 998,260
Category 5,Product 174,247
Category 9,Product 8,245
Category 9,Product 858,240
Category 2,Product 621,239
Category 7,Product 336,234
Category 6,Product 645,226
Category 2,Product 521,224
Category 1,Product 880,202
Category 10,Product 659,198
Category 4,Product 693,195
Category 10,Product 299,194
Category 1,Product 320,178
Category 1,Product 560,175
Category 2,Product 1,167
Category 7,Product 196,164
Category 4,Product 783,159
Category 4,Product 603,134
Category 7,Product 476,128
Category 4,Product 403,117
Category 3,Product 52,116
Category 10,Product 909,101
Category 2,Product 691,93
Category 2,Product 231,77
Category 3,Product 542,68
Category 2,Product 931,67
Category 10,Product 139,65
Category 9,Product 148,52
Category 10,Product 619,51
Category 10,Product 959,45
Category 4,Product 333,33
Category 10,Product 109,31
