ProductName,TotalQuantity,TotalRevenue,AverageUnitPrice,ProfitPerUnit
Product 514,126,1608,12.7619,11.4365
Product 562,125,982,7.856,6.592
Product 257,125,1497,11.976,9.536
Product 265,125,1247,9.976,8
Product 317,125,1568,12.544,9.776
Product 71,125,1494,11.952,9.424
Product 661,125,1554,12.432,9.368
Product 699,124,632,5.0967,3.0967
Product 748,124,1366,11.0161,9.5887
Product 329,124,1430,11.5322,9.5483
Product 239,124,1835,14.7983,12.6048
Product 144,124,1142,9.2096,7.4758
Product 544,124,1585,12.7822,11.2338
Product 488,123,1285,10.4471,8.1788
Product 4,123,1776,14.439,11.2682
Product 334,123,1219,9.9105,8.1788
Product 29,123,1851,15.0487,12.0081
Product 735,123,476,3.8699,2.5528
Product 764,123,1053,8.5609,7.1544
Product 864,123,2269,18.4471,16.626
Product 701,123,1119,9.0975,7.1626
Product 625,123,1159,9.4227,7.1463
Product 878,123,1586,12.8943,10.9349
Product 642,122,1049,8.5983,6.0409
Product 862,122,935,7.6639,5.418
Product 863,122,1367,11.2049,8.7377
Product 832,122,1122,9.1967,7.8278
Product 259,122,1735,14.2213,12.377
Product 408,122,1932,15.836,12.9754
Product 354,122,1112,9.1147,6.6721
Product 487,122,1372,11.2459,9.418
Product 587,122,1924,15.7704,12.4344
Product 508,121,1319,10.9008,9.1735
Product 387,121,919,7.595,5.8347
Product 392,121,1376,11.3719,9.6611
Product 234,121,1598,13.2066,10.1983
Product 227,121,1745,14.4214,12.1404
Product 341,121,1362,11.2561,7.4545
Product 153,121,1073,8.8677,7.7933
Product 831,121,750,6.1983,4.0495
Product 772,120,763,6.3583,4.9
Product 654,120,1700,14.1666,12.1166
Product 217,120,1065,8.875,7.325
Product 388,120,1000,8.3333,6.375
Product 425,119,1691,14.21,10.3529
Product 444,119,1293,10.8655,9.0756
Product 524,119,891,7.4873,6.4117
Product 630,119,1125,9.4537,8.1848
Product 788,118,995,8.4322,5.3474
Product 834,118,2704,22.9152,19.0338
Product 949,118,1254,10.6271,9.0932
Product 36,118,1195,10.1271,7.8813
Product 321,118,1175,9.9576,9.2711
Product 189,118,1306,11.0677,8.322
Product 33,117,876,7.4871,5.6923
Product 85,117,2361,20.1794,16.2905
Product 816,116,1466,12.6379,11.8706
Product 222,116,1588,13.6896,10.6896
Product 210,116,797,6.8706,5.2241
Product 390,116,1260,10.862,7.4051
Product 412,116,744,6.4137,5.431
Product 462,116,564,4.862,3.8103
Product 377,115,1205,10.4782,7.9478
Product 51,115,1127,9.8,7.4434
Product 606,115,1265,11,8.0782
Product 330,115,1250,10.8695,7.8434
Product 684,115,1281,11.1391,9.5565
Product 914,115,1115,9.6956,7.6347
Product 899,114,821,7.2017,6.5
Product 67,114,1139,9.9912,8.3421
Product 183,114,622,5.4561,5.1666
Product 573,114,978,8.5789,6.5
Product 39,113,2103,18.6106,16.0884
Product 186,113,1273,11.2654,8.7876
Product 312,113,1704,15.0796,12.9026
Product 729,113,1008,8.9203,7.4159
Product 849,113,503,4.4513,3.2123
Product 802,112,1286,11.4821,10.2946
Product 751,112,1753,15.6517,13.625
Product 711,112,788,7.0357,5.5535
Product 907,112,1113,9.9375,7.9375
Product 439,112,863,7.7053,5.6071
Product 529,112,1615,14.4196,12.0089
Product 244,111,1386,12.4864,9.2252
Product 181,111,1614,14.5405,12.09
Product 143,111,1385,12.4774,9.5135
Product 136,111,874,7.8738,6.5945
Product 112,111,1129,10.1711,7.9279
Product 675,111,838,7.5495,6.2882
Product 813,110,1480,13.4545,11.5181
Product 968,110,785,7.1363,5.5545
Product 149,110,1233,11.209,8.409
Product 216,110,1102,10.0181,8.5181
Product 25,110,1001,9.1,7.009
Product 518,110,418,3.8,1.3181
Product 558,110,1419,12.9,11.2454
Product 473,109,1329,12.1926,11.3944
Product 937,109,1481,13.5871,10.1651
Product 623,109,1285,11.7889,8.8715
Product 726,109,1011,9.2752,7.4403
Product 728,108,1371,12.6944,10.2037
Product 761,108,944,8.7407,5.6851
Product 76,108,897,8.3055,5.4629
Product 926,108,908,8.4074,5.6388
Product 431,108,1341,12.4166,10.5555
Product 359,108,947,8.7685,6.75
Product 229,108,1622,15.0185,10.7685
Product 172,108,648,6,3.3796
Product 160,108,846,7.8333,5.9907
Product 140,108,1088,10.074,7.7685
Product 23,107,857,8.0093,5.6635
Product 328,107,1099,10.271,7.9813
Product 344,107,990,9.2523,5.757
Product 472,107,1330,12.4299,10.6448
Product 536,107,829,7.7476,5.3551
Product 933,107,1726,16.1308,11.6168
Product 872,107,1182,11.0467,8.7289
Product 987,107,522,4.8785,2.7663
Product 80,107,1672,15.6261,14.0093
Product 798,107,720,6.7289,3.7196
Product 809,107,2216,20.7102,17.3457
Product 731,107,2110,19.7196,17.1401
Product 796,106,624,5.8867,3.8773
Product 920,106,1241,11.7075,9.3679
Product 975,105,1035,9.8571,7.8095
Product 989,105,907,8.638,6.5428
Product 609,105,1113,10.6,8.4095
Product 347,105,1824,17.3714,15.1428
Product 122,105,1578,15.0285,12.3904
Product 166,105,986,9.3904,7.5809
Product 373,104,1149,11.048,9.5192
Product 409,104,510,4.9038,2.9423
Product 9,104,661,6.3557,4.3076
Product 897,104,1493,14.3557,11.9615
Product 894,103,1613,15.6601,12.5631
Product 744,103,445,4.3203,1.7669
Product 481,103,454,4.4077,2.2427
Product 539,103,481,4.6699,2.8155
Product 141,103,542,5.2621,2.9029
Product 152,103,928,9.0097,5.8349
Product 45,102,874,8.5686,7.9313
Product 774,102,527,5.1666,4.1274
Product 830,102,1094,10.7254,8.5098
Product 827,102,1166,11.4313,9.1176
Product 696,102,1091,10.696,7.5392
Product 999,102,738,7.2352,4.1764
Product 730,101,1269,12.5643,9.9009
Product 142,101,1328,13.1485,11.9306
Product 30,101,1012,10.0198,8.4356
Product 157,100,1458,14.58,10.89
Product 391,100,1752,17.52,15.28
Product 7,100,932,9.32,7.43
Product 939,100,2323,23.23,17.19
Product 681,99,921,9.303,5.606
Product 743,99,1488,15.0303,10.4242
Product 418,99,1405,14.1919,11.7272
Product 497,99,792,8,6.0202
Product 5,99,1091,11.0202,9.4848
Product 110,99,796,8.0404,4.3737
Product 288,98,1384,14.1224,10.1122
Product 374,98,458,4.6734,3.1428
Product 448,98,677,6.9081,4.2142
Product 449,98,1088,11.102,8.3265
Product 463,98,698,7.1224,5.9897
Product 773,98,1372,14,12.0204
Product 749,97,1348,13.8969,11.0412
Product 650,97,313,3.2268,2.5257
Product 447,97,1267,13.0618,9.536
Product 161,97,524,5.402,2.8144
Product 170,97,467,4.8144,2.8865
Product 182,96,303,3.1562,-0.2916
Product 219,96,708,7.375,5.5104
Product 193,96,592,6.1666,4.177
Product 268,96,1700,17.7083,12.8437
Product 371,96,761,7.927,5.125
Product 716,96,1347,14.0312,12.802
Product 887,96,1273,13.2604,11.0937
Product 733,95,1163,12.2421,9.5684
Product 676,95,1338,14.0842,12.1052
Product 785,95,1036,10.9052,8.8736
Product 416,95,866,9.1157,6.9263
Product 406,95,1154,12.1473,9.3578
Product 421,95,1274,13.4105,11.821
Product 588,95,413,4.3473,2.0315
Product 202,95,1168,12.2947,10.2526
Product 165,94,1091,11.6063,9.234
Product 120,94,495,5.2659,3.7234
Product 269,94,1092,11.617,9.6914
Product 338,94,1574,16.7446,13.1276
Product 555,94,1385,14.734,12
Product 908,94,1165,12.3936,8.6702
Product 98,94,1037,11.0319,9.5212
Product 991,93,1347,14.4838,13.2258
Product 806,93,365,3.9247,0.387
Product 821,93,870,9.3548,8.3118
Product 656,93,1115,11.9892,8.2473
Product 635,93,702,7.5483,5.7741
Product 548,93,641,6.8924,5.9032
Product 215,93,1555,16.7204,11.9569
Product 531,92,1686,18.326,15.326
Product 451,92,1331,14.4673,11.8586
Product 83,92,1324,14.3913,12.8913
Product 840,92,1079,11.7282,8.3586
Product 741,91,1032,11.3406,8.956
Product 769,91,398,4.3736,2.934
Product 682,91,1021,11.2197,10.0329
Product 694,91,1126,12.3736,11.1428
Product 653,90,1097,12.1888,8.8222
Product 797,90,1204,13.3777,10.6333
Product 853,90,1006,11.1777,9.8666
Product 970,90,669,7.4333,5.0555
Product 947,90,784,8.7111,6.0111
Product 40,90,394,4.3777,3.5333
Product 108,90,843,9.3666,8.6
Product 44,89,1027,11.5393,9.3483
Product 550,89,1123,12.6179,9.1797
Product 603,89,134,1.5056,-0.7191
Product 956,89,998,11.2134,8.3595
Product 992,89,1027,11.5393,9.8764
Product 632,89,855,9.6067,7.0112
Product 643,89,1539,17.2921,15.4494
Product 610,88,954,10.8409,9.2045
Product 507,88,985,11.1931,8.9886
Product 255,88,919,10.4431,8.6931
Product 251,88,502,5.7045,4.1704
Product 305,87,843,9.6896,8.0229
Product 533,87,1400,16.0919,14.1379
Product 458,87,717,8.2413,6.4137
Product 825,87,661,7.5977,5.1494
Product 942,87,1655,19.0229,16.7356
Product 794,86,1091,12.686,8.9302
Product 567,86,726,8.4418,5
Product 342,86,394,4.5813,2.6395
Product 119,86,940,10.9302,8.2441
Product 351,85,501,5.8941,4
Product 301,85,1543,18.1529,15.4588
Product 237,85,1511,17.7764,14.8
Product 278,85,1077,12.6705,10.5882
Product 561,85,1342,15.7882,13.2705
Product 808,85,1379,16.2235,11.3411
Product 854,85,819,9.6352,6.6117
Product 713,85,1586,18.6588,15.3294
Product 628,84,1508,17.9523,14.3095
Product 762,84,1180,14.0476,11.4642
Product 997,84,1258,14.9761,12.7261
Product 483,84,985,11.7261,8.5357
Product 400,84,341,4.0595,2.869
