ShipperName,TotalOrders,TotalRevenue,MonthsActive
Shipper 752,7,2321,4
Shipper 465,7,2316,5
Shipper 832,8,2312,5
Shipper 724,6,2309,5
Shipper 646,10,2308,7
Shipper 369,8,2301,6
Shipper 102,9,2299,5
Shipper 302,9,2287,6
Shipper 953,9,2270,5
Shipper 24,9,2269,8
Shipper 419,7,2257,5
Shipper 449,6,2256,4
Shipper 529,8,2239,5
Shipper 355,7,2232,5
Shipper 858,7,2231,7
Shipper 301,8,2227,6
Shipper 399,8,2219,4
Shipper 650,6,2219,4
Shipper 453,7,2217,6
Shipper 372,7,2216,5
Shipper 159,10,2212,6
Shipper 778,8,2203,5
Shipper 711,9,2203,9
Shipper 451,6,2201,5
Shipper 904,7,2194,7
Shipper 926,5,2192,4
Shipper 287,7,2189,5
Shipper 911,8,2169,5
Shipper 569,9,2166,7
Shipper 588,7,2165,6
Shipper 365,8,2164,6
Shipper 213,7,2160,5
Shipper 920,7,2160,5
Shipper 41,8,2159,5
Shipper 396,6,2158,5
Shipper 619,6,2154,3
Shipper 685,7,2149,5
Shipper 462,9,2135,5
Shipper 565,9,2123,6
Shipper 257,8,2122,4
Shipper 988,7,2121,5
Shipper 612,8,2119,7
Shipper 268,6,2113,4
Shipper 364,5,2090,4
Shipper 284,7,2082,6
Shipper 256,6,2073,5
Shipper 884,7,2069,6
Shipper 551,6,2061,5
Shipper 347,7,2060,6
Shipper 990,7,2059,6
Shipper 838,7,2058,5
Shipper 779,7,2055,5
Shipper 468,8,2043,4
Shipper 26,8,2043,6
Shipper 143,8,2043,7
Shipper 541,8,2041,8
Shipper 505,8,2036,5
Shipper 978,7,2020,5
Shipper 14,6,2019,5
Shipper 592,9,2011,5
Shipper 463,7,2010,7
Shipper 820,7,2000,6
Shipper 689,7,1994,5
Shipper 343,7,1981,5
Shipper 446,8,1978,6
Shipper 269,6,1970,5
Shipper 410,6,1969,5
Shipper 638,6,1962,5
Shipper 481,7,1956,6
Shipper 602,8,1945,5
Shipper 36,6,1941,3
Shipper 28,8,1934,6
Shipper 578,6,1933,3
Shipper 169,9,1932,6
Shipper 745,6,1922,4
Shipper 205,7,1921,5
Shipper 161,9,1917,8
Shipper 305,10,1912,8
Shipper 639,7,1908,6
Shipper 66,8,1907,5
Shipper 173,5,1905,5
Shipper 961,7,1905,5
Shipper 805,9,1903,8
Shipper 323,7,1903,5
Shipper 609,7,1895,6
Shipper 849,6,1886,5
Shipper 666,7,1868,4
Shipper 525,8,1862,6
Shipper 824,7,1860,6
Shipper 809,6,1859,4
Shipper 722,7,1859,5
Shipper 123,7,1857,7
Shipper 258,6,1856,6
Shipper 265,6,1855,5
Shipper 153,5,1853,4
Shipper 6,9,1850,7
Shipper 518,6,1848,6
Shipper 248,9,1847,6
Shipper 299,7,1847,6
Shipper 289,9,1844,6
Shipper 878,6,1840,5
Shipper 49,7,1839,4
Shipper 659,6,1839,4
Shipper 175,8,1836,5
Shipper 88,5,1836,4
Shipper 495,7,1832,6
Shipper 50,6,1830,4
Shipper 925,7,1829,5
Shipper 868,7,1827,6
Shipper 370,5,1826,4
Shipper 636,8,1826,6
Shipper 751,7,1821,5
Shipper 700,9,1821,8
Shipper 354,5,1821,4
Shipper 803,7,1817,5
Shipper 167,7,1813,4
Shipper 643,6,1805,5
Shipper 564,7,1805,7
Shipper 770,7,1803,5
Shipper 523,7,1798,5
Shipper 395,8,1798,7
Shipper 339,5,1791,4
Shipper 439,7,1790,3
Shipper 107,7,1787,5
Shipper 247,6,1782,5
Shipper 12,6,1781,4
Shipper 570,8,1781,6
Shipper 219,5,1771,3
Shipper 702,8,1769,5
Shipper 673,5,1768,5
Shipper 721,5,1766,5
Shipper 351,6,1764,6
Shipper 324,7,1762,6
Shipper 627,9,1761,7
Shipper 65,6,1758,5
Shipper 960,5,1758,4
Shipper 712,6,1756,4
Shipper 923,8,1754,6
Shipper 38,6,1753,5
Shipper 104,6,1751,5
Shipper 986,7,1735,5
Shipper 506,6,1733,6
Shipper 425,7,1731,5
Shipper 126,6,1731,5
Shipper 22,7,1731,5
Shipper 337,5,1729,5
Shipper 345,7,1729,6
Shipper 843,6,1726,6
Shipper 944,6,1725,5
Shipper 32,6,1723,5
Shipper 319,6,1722,6
Shipper 360,6,1717,4
Shipper 352,7,1716,4
Shipper 405,5,1714,5
Shipper 510,5,1714,5
Shipper 309,6,1714,5
Shipper 165,5,1713,5
Shipper 93,6,1712,6
Shipper 482,5,1712,4
Shipper 109,6,1712,4
Shipper 936,5,1711,4
Shipper 553,6,1711,4
Shipper 179,7,1709,4
Shipper 479,8,1707,5
Shipper 909,6,1702,6
Shipper 25,6,1699,5
Shipper 98,4,1699,4
Shipper 292,8,1697,6
Shipper 610,7,1693,5
Shipper 151,7,1689,5
Shipper 235,5,1683,4
Shipper 78,5,1681,5
Shipper 516,4,1679,3
Shipper 740,7,1676,6
Shipper 983,6,1671,3
Shipper 329,5,1665,3
Shipper 970,6,1663,6
Shipper 794,6,1662,5
Shipper 211,6,1649,5
Shipper 861,5,1648,5
Shipper 321,8,1647,5
Shipper 533,7,1646,5
Shipper 661,7,1646,4
Shipper 929,7,1643,5
Shipper 662,5,1643,5
Shipper 667,7,1638,5
Shipper 544,4,1638,3
Shipper 487,5,1636,5
Shipper 737,7,1628,6
Shipper 193,6,1628,5
Shipper 715,7,1624,7
Shipper 353,8,1620,6
Shipper 383,6,1619,6
Shipper 656,5,1619,5
Shipper 528,9,1618,9
Shipper 59,8,1617,5
Shipper 840,6,1617,5
Shipper 83,6,1614,6
Shipper 429,5,1605,4
Shipper 736,5,1603,5
Shipper 792,6,1602,5
Shipper 82,5,1602,4
Shipper 934,9,1601,7
Shipper 640,8,1601,7
Shipper 784,6,1600,3
Shipper 756,6,1597,4
Shipper 566,4,1594,4
Shipper 764,6,1590,5
Shipper 717,7,1590,6
Shipper 310,6,1586,5
Shipper 454,5,1583,4
Shipper 142,8,1582,4
Shipper 515,6,1580,6
Shipper 812,7,1579,5
Shipper 972,7,1578,6
Shipper 802,7,1577,6
Shipper 267,6,1574,5
Shipper 634,4,1569,3
Shipper 217,7,1567,5
Shipper 818,6,1567,6
Shipper 241,7,1561,4
Shipper 521,6,1560,5
Shipper 977,6,1559,5
Shipper 963,5,1559,4
Shipper 682,6,1556,5
Shipper 315,4,1553,4
Shipper 819,5,1552,4
Shipper 628,5,1549,5
Shipper 445,6,1547,5
Shipper 846,6,1547,6
Shipper 262,5,1544,5
Shipper 935,8,1542,7
Shipper 854,4,1542,4
Shipper 973,8,1541,5
Shipper 908,6,1540,5
Shipper 546,5,1538,5
Shipper 229,5,1535,5
Shipper 432,7,1534,7
Shipper 170,4,1533,3
Shipper 357,4,1529,4
Shipper 34,6,1529,4
Shipper 288,6,1528,5
Shipper 486,5,1526,5
Shipper 512,8,1526,7
Shipper 92,6,1526,3
Shipper 100,6,1525,5
Shipper 830,6,1525,5
Shipper 122,6,1524,3
Shipper 414,5,1521,4
Shipper 914,7,1520,4
Shipper 728,5,1520,5
Shipper 398,5,1520,3
Shipper 645,6,1514,5
Shipper 207,7,1513,6
Shipper 836,5,1511,5
Shipper 680,6,1507,5
Shipper 890,5,1502,5
Shipper 589,5,1501,4
Shipper 163,7,1493,6
Shipper 806,5,1492,4
Shipper 1,5,1491,5
Shipper 48,6,1490,5
Shipper 704,5,1490,4
Shipper 467,7,1490,4
Shipper 530,6,1488,5
Shipper 527,6,1488,4
Shipper 114,6,1488,5
Shipper 210,7,1487,5
Shipper 587,5,1486,4
Shipper 185,8,1484,7
Shipper 380,6,1482,4
Shipper 97,4,1480,4
Shipper 635,6,1474,6
Shipper 264,4,1465,2
Shipper 215,6,1465,5
Shipper 158,5,1465,5
Shipper 885,7,1464,6
Shipper 874,5,1464,5
Shipper 73,5,1458,4
Shipper 112,5,1457,3
Shipper 647,4,1453,4
Shipper 160,9,1452,8
Shipper 31,6,1446,6
Shipper 168,5,1444,5
Shipper 331,4,1444,4
Shipper 182,7,1441,6
Shipper 683,6,1440,4
Shipper 464,6,1440,4
Shipper 817,5,1438,5
Shipper 298,6,1436,5
Shipper 726,5,1435,4
Shipper 921,5,1434,4
Shipper 226,6,1433,5
Shipper 427,5,1429,3
Shipper 415,7,1427,6
Shipper 251,5,1424,5
Shipper 765,6,1422,3
Shipper 200,5,1417,3
Shipper 901,8,1417,6
Shipper 633,5,1416,4
Shipper 320,5,1416,4
Shipper 119,5,1412,4
Shipper 187,6,1408,4
Shipper 18,5,1408,5
Shipper 730,4,1405,3
Shipper 522,5,1404,4
Shipper 969,5,1402,4
Shipper 307,5,1400,4
Shipper 558,5,1395,5
Shipper 131,4,1394,3
Shipper 157,7,1394,6
Shipper 517,6,1390,4
Shipper 652,6,1389,5
Shipper 350,4,1386,3
Shipper 214,4,1386,4
Shipper 574,4,1385,3
Shipper 615,6,1384,4
Shipper 166,7,1383,6
Shipper 180,5,1382,4
Shipper 63,5,1381,5
Shipper 72,5,1381,4
Shipper 362,6,1381,3
Shipper 513,4,1373,3
Shipper 145,4,1369,3
Shipper 927,4,1368,3
Shipper 947,5,1368,4
Shipper 296,7,1364,6
Shipper 191,6,1364,5
Shipper 948,5,1363,4
Shipper 84,5,1362,5
Shipper 181,7,1362,6
Shipper 538,6,1360,6
Shipper 670,5,1359,3
Shipper 539,6,1355,5
Shipper 537,7,1353,5
Shipper 536,5,1352,4
Shipper 69,6,1352,5
Shipper 224,8,1348,6
Shipper 693,5,1348,4
Shipper 198,5,1345,5
Shipper 605,5,1343,4
Shipper 71,5,1341,4
Shipper 140,5,1335,5
Shipper 377,4,1335,4
Shipper 456,9,1335,7
Shipper 206,7,1333,6
Shipper 220,5,1329,4
Shipper 727,4,1328,4
Shipper 261,6,1328,4
Shipper 789,4,1324,4
Shipper 980,4,1324,4
Shipper 555,4,1322,4
Shipper 400,7,1321,5
Shipper 787,5,1321,4
Shipper 176,7,1321,6
Shipper 208,6,1319,4
Shipper 478,3,1318,3
Shipper 532,4,1315,4
Shipper 342,5,1315,2
Shipper 761,4,1311,4
Shipper 895,6,1307,5
Shipper 174,5,1307,4
Shipper 245,5,1303,5
Shipper 316,6,1299,5
Shipper 461,3,1298,3
Shipper 655,4,1297,4
Shipper 760,8,1296,8
Shipper 386,4,1295,3
Shipper 875,4,1294,3
Shipper 707,7,1294,6
Shipper 430,4,1293,4
Shipper 998,6,1291,4
Shipper 325,4,1289,4
Shipper 249,6,1287,6
Shipper 113,6,1284,5
Shipper 341,5,1284,3
Shipper 625,4,1281,4
Shipper 271,6,1279,4
Shipper 9,4,1276,4
Shipper 496,4,1275,4
Shipper 691,4,1271,4
Shipper 244,5,1270,5
Shipper 489,4,1269,3
Shipper 473,5,1268,5
Shipper 857,5,1267,4
Shipper 876,5,1267,4
Shipper 882,6,1266,5
Shipper 194,3,1264,2
Shipper 300,5,1260,5
Shipper 90,3,1257,3
Shipper 993,6,1255,5
Shipper 813,6,1253,4
Shipper 130,5,1253,4
Shipper 987,8,1251,6
Shipper 94,4,1247,4
Shipper 880,7,1245,5
Shipper 804,3,1244,3
Shipper 759,4,1244,4
Shipper 95,4,1237,4
Shipper 183,6,1231,5
Shipper 138,6,1230,5
Shipper 282,4,1230,4
Shipper 783,6,1230,5
Shipper 703,4,1227,3
Shipper 484,8,1225,6
Shipper 601,6,1223,4
Shipper 133,6,1223,6
Shipper 709,6,1222,4
Shipper 894,5,1221,4
Shipper 438,7,1220,6
Shipper 148,4,1219,2
Shipper 729,4,1219,3
Shipper 326,5,1217,4
Shipper 89,7,1216,6
Shipper 358,5,1215,4
Shipper 814,4,1214,3
Shipper 637,5,1213,4
Shipper 749,3,1212,3
Shipper 277,4,1209,4
Shipper 149,4,1207,3
Shipper 807,4,1206,4
Shipper 150,6,1204,5
Shipper 596,3,1204,3
Shipper 644,5,1203,5
Shipper 690,3,1202,3
Shipper 61,5,1201,4
Shipper 472,5,1200,4
Shipper 863,4,1194,3
Shipper 677,6,1193,6
Shipper 710,5,1189,4
Shipper 335,5,1187,5
Shipper 623,5,1185,5
Shipper 231,3,1185,3
Shipper 545,4,1185,4
Shipper 338,6,1185,5
Shipper 811,4,1181,3
Shipper 743,5,1181,5
Shipper 698,4,1172,3
Shipper 8,5,1172,4
Shipper 808,7,1172,5
Shipper 23,6,1172,4
Shipper 844,3,1171,3
Shipper 266,5,1170,4
Shipper 77,5,1169,5
Shipper 696,6,1167,6
Shipper 373,5,1163,4
Shipper 994,4,1160,3
Shipper 470,6,1158,3
Shipper 919,6,1156,5
Shipper 785,6,1153,3
Shipper 105,3,1153,3
Shipper 966,4,1150,3
Shipper 56,3,1147,2
Shipper 699,6,1146,5
Shipper 975,4,1145,3
Shipper 763,3,1138,3
Shipper 356,4,1137,3
Shipper 30,5,1136,5
Shipper 136,6,1126,5
Shipper 60,5,1126,2
Shipper 20,4,1123,2
Shipper 864,5,1123,5
Shipper 915,4,1120,3
Shipper 823,4,1119,3
Shipper 37,5,1118,3
Shipper 775,3,1118,3
Shipper 962,4,1116,3
Shipper 293,5,1115,5
Shipper 39,4,1111,4
Shipper 253,5,1109,5
Shipper 772,3,1108,3
Shipper 367,5,1105,5
Shipper 902,5,1103,5
Shipper 492,6,1103,5
Shipper 889,3,1102,3
Shipper 758,3,1098,3
Shipper 435,5,1097,5
Shipper 705,4,1096,3
Shipper 447,3,1095,3
Shipper 443,3,1092,3
Shipper 678,7,1091,3
Shipper 156,4,1090,4
Shipper 649,4,1088,3
Shipper 5,5,1086,4
Shipper 595,5,1086,5
Shipper 437,3,1086,3
Shipper 719,5,1085,5
Shipper 568,6,1085,6
Shipper 781,4,1083,3
Shipper 681,3,1082,3
Shipper 582,7,1081,4
Shipper 991,4,1077,3
Shipper 622,3,1073,3
Shipper 928,3,1072,3
Shipper 664,5,1070,5
Shipper 318,4,1069,4
Shipper 526,4,1069,4
Shipper 810,5,1063,5
Shipper 139,4,1063,4
Shipper 842,4,1062,4
Shipper 831,4,1061,4
Shipper 497,5,1059,5
Shipper 896,5,1057,4
Shipper 694,3,1055,2
Shipper 480,4,1054,3
Shipper 718,6,1051,5
Shipper 477,3,1043,3
Shipper 33,3,1043,3
Shipper 697,5,1042,4
Shipper 767,5,1042,5
Shipper 272,4,1036,2
Shipper 949,4,1036,3
Shipper 548,4,1033,4
Shipper 42,5,1032,4
Shipper 631,4,1031,3
Shipper 603,6,1031,4
Shipper 887,5,1030,4
Shipper 441,4,1029,4
Shipper 708,3,1028,3
Shipper 476,6,1026,6
Shipper 237,6,1026,5
Shipper 132,4,1025,4
Shipper 260,3,1024,2
Shipper 448,3,1024,3
Shipper 981,4,1023,4
Shipper 106,3,1020,3
Shipper 388,7,1017,6
Shipper 790,3,1016,2
Shipper 968,6,1016,4
Shipper 893,4,1016,3
Shipper 275,5,1015,3
Shipper 862,3,1012,3
Shipper 117,5,1012,4
Shipper 233,5,1009,4
Shipper 504,4,1008,4
Shipper 577,3,1002,3
Shipper 216,4,1002,3
Shipper 74,6,1000,5
Shipper 543,4,999,4
Shipper 866,4,996,4
Shipper 222,4,994,4
Shipper 822,3,993,3
Shipper 971,5,993,5
Shipper 137,3,992,2
Shipper 471,6,990,4
Shipper 608,2,989,2
Shipper 900,3,988,3
Shipper 334,4,988,4
Shipper 542,4,985,3
Shipper 270,4,983,3
Shipper 2,5,982,5
Shipper 152,4,979,4
Shipper 281,3,979,3
Shipper 799,4,979,4
Shipper 190,4,979,3
Shipper 390,3,976,3
Shipper 917,5,974,5
Shipper 218,3,974,3
Shipper 621,5,972,4
Shipper 297,4,970,4
Shipper 559,6,965,6
Shipper 951,3,964,3
Shipper 164,6,962,6
Shipper 313,4,955,3
Shipper 124,5,955,4
Shipper 52,6,955,5
Shipper 80,4,953,4
Shipper 793,3,953,3
Shipper 976,6,953,6
Shipper 127,6,952,5
Shipper 209,4,951,4
Shipper 943,3,950,3
Shipper 286,4,946,4
Shipper 346,3,945,3
Shipper 945,4,944,4
Shipper 723,4,944,4
Shipper 825,4,943,4
Shipper 475,4,943,4
Shipper 967,4,942,4
Shipper 618,3,939,2
Shipper 997,4,939,3
Shipper 734,5,937,4
Shipper 648,3,933,3
Shipper 856,3,932,3
Shipper 774,3,931,2
Shipper 922,3,929,3
Shipper 16,5,927,4
Shipper 111,4,927,2
Shipper 412,6,926,6
Shipper 433,5,925,3
Shipper 674,3,924,3
Shipper 240,3,922,2
Shipper 839,5,921,4
Shipper 223,2,921,2
Shipper 426,3,921,3
Shipper 428,3,920,2
Shipper 234,3,918,2
Shipper 598,4,909,3
Shipper 311,3,909,3
Shipper 483,3,907,3
Shipper 594,4,906,3
Shipper 368,5,905,5
Shipper 493,3,904,3
Shipper 653,4,904,4
Shipper 409,3,903,3
Shipper 780,7,902,6
Shipper 916,4,899,4
Shipper 184,3,898,2
Shipper 859,5,897,4
Shipper 872,3,897,3
Shipper 57,6,896,6
Shipper 913,4,896,3
Shipper 816,4,894,4
Shipper 254,5,894,5
Shipper 912,5,892,4
Shipper 996,3,892,3
Shipper 575,4,890,3
Shipper 450,5,889,4
Shipper 349,3,886,3
Shipper 965,5,883,5
Shipper 86,5,877,4
Shipper 924,6,876,4
Shipper 524,3,874,3
Shipper 417,5,873,5
Shipper 116,5,873,4
Shipper 651,3,873,3
Shipper 502,3,869,3
Shipper 108,3,866,3
Shipper 580,3,866,3
Shipper 394,3,865,3
Shipper 873,3,865,2
Shipper 755,3,864,3
Shipper 154,3,864,3
Shipper 503,3,862,2
Shipper 328,4,859,4
Shipper 585,4,859,3
Shipper 657,3,857,2
Shipper 278,5,856,4
Shipper 910,5,856,4
Shipper 387,4,856,2
Shipper 629,4,854,3
Shipper 29,6,853,4
Shipper 498,4,853,3
Shipper 796,4,850,3
Shipper 801,2,845,2
Shipper 713,5,842,2
Shipper 821,3,842,3
Shipper 40,5,842,4
Shipper 491,6,841,5
Shipper 992,4,838,3
Shipper 933,3,837,3
Shipper 250,5,837,4
Shipper 212,2,836,1
Shipper 725,2,835,2
Shipper 626,6,829,4
Shipper 852,5,828,5
Shipper 837,2,826,2
Shipper 985,5,825,4
Shipper 308,3,824,3
Shipper 392,5,824,4
Shipper 203,5,822,4
Shipper 359,5,820,4
Shipper 189,3,818,3
Shipper 15,3,817,2
Shipper 999,3,817,3
Shipper 53,2,816,2
Shipper 340,4,813,4
Shipper 195,5,813,3
Shipper 957,5,809,5
Shipper 420,3,807,3
Shipper 459,4,804,3
Shipper 630,5,803,3
Shipper 989,3,802,3
Shipper 604,2,797,2
Shipper 291,5,794,4
Shipper 81,2,790,2
Shipper 676,2,790,2
Shipper 371,4,790,3
Shipper 393,4,790,3
Shipper 382,3,789,2
Shipper 584,4,788,2
Shipper 549,2,781,2
Shipper 946,3,780,3
Shipper 58,2,780,2
Shipper 317,3,778,3
Shipper 641,4,778,3
Shipper 171,3,774,2
Shipper 554,3,766,3
Shipper 401,3,763,3
Shipper 829,3,762,3
Shipper 314,4,762,4
Shipper 720,2,761,2
Shipper 586,2,760,2
Shipper 199,4,759,3
Shipper 870,2,755,2
Shipper 232,3,755,3
Shipper 776,2,754,2
Shipper 35,4,752,3
Shipper 238,3,752,3
Shipper 312,3,744,3
Shipper 624,2,743,2
Shipper 675,3,741,3
Shipper 500,3,737,3
Shipper 841,3,735,3
Shipper 110,4,732,4
Shipper 221,3,732,3
Shipper 665,5,727,4
Shipper 442,4,726,4
Shipper 828,2,725,2
Shipper 562,3,725,2
Shipper 402,3,721,3
Shipper 956,3,721,3
Shipper 851,4,720,4
Shipper 431,6,720,6
Shipper 285,3,719,3
Shipper 984,4,717,4
Shipper 658,5,712,4
Shipper 607,2,709,1
Shipper 686,5,709,3
Shipper 385,3,708,2
Shipper 606,4,708,4
Shipper 600,3,704,3
Shipper 797,2,702,2
Shipper 939,3,699,3
Shipper 55,3,696,3
Shipper 514,4,695,3
Shipper 192,5,694,4
Shipper 800,3,692,3
Shipper 276,3,691,2
Shipper 692,3,686,3
Shipper 766,2,683,2
Shipper 494,5,683,5
Shipper 613,3,682,3
Shipper 782,2,681,2
Shipper 954,2,678,2
Shipper 51,3,677,3
Shipper 620,3,676,3
Shipper 511,2,675,2
Shipper 466,2,674,2
Shipper 474,3,673,2
Shipper 376,2,672,2
Shipper 27,4,671,4
Shipper 336,3,668,3
Shipper 99,3,668,3
Shipper 423,3,668,3
Shipper 120,3,662,3
Shipper 531,5,660,5
Shipper 19,4,658,2
Shipper 204,3,656,3
Shipper 572,2,656,2
Shipper 897,2,653,1
Shipper 835,5,653,4
Shipper 436,3,653,3
Shipper 955,3,651,3
Shipper 333,3,651,3
Shipper 280,3,650,2
Shipper 905,3,650,2
Shipper 361,3,650,3
Shipper 860,3,649,3
Shipper 178,4,644,4
Shipper 389,4,642,3
Shipper 563,3,641,3
Shipper 290,4,640,3
Shipper 186,4,638,3
Shipper 381,2,637,2
Shipper 508,3,635,2
Shipper 294,4,633,3
Shipper 826,3,630,3
Shipper 274,5,628,5
Shipper 259,2,627,2
Shipper 850,3,625,3
Shipper 344,2,623,2
Shipper 458,3,622,3
Shipper 931,2,621,2
Shipper 716,3,620,3
Shipper 950,3,615,3
Shipper 236,2,614,2
Shipper 378,2,608,2
Shipper 593,3,606,2
Shipper 455,4,605,4
Shipper 611,5,599,5
Shipper 434,3,597,3
Shipper 283,2,595,2
Shipper 941,2,594,2
Shipper 567,6,594,5
Shipper 46,2,593,2
Shipper 907,2,593,2
Shipper 768,3,593,1
Shipper 243,3,592,3
Shipper 942,2,592,2
Shipper 64,3,591,2
Shipper 47,3,587,3
Shipper 134,3,584,3
Shipper 679,2,577,1
Shipper 188,3,573,3
Shipper 547,3,570,3
Shipper 669,2,566,1
Shipper 687,2,557,2
Shipper 141,5,546,4
Shipper 757,4,545,4
Shipper 303,3,545,3
Shipper 363,3,539,3
Shipper 617,4,537,3
Shipper 452,2,532,2
Shipper 731,2,526,2
Shipper 375,3,524,3
Shipper 70,4,520,3
Shipper 706,4,520,4
Shipper 457,4,520,4
Shipper 979,2,517,2
Shipper 739,3,511,3
Shipper 663,5,510,4
Shipper 616,3,507,3
Shipper 403,3,506,3
Shipper 162,3,498,3
Shipper 952,3,498,3
Shipper 573,3,495,3
Shipper 891,3,495,3
Shipper 552,3,488,3
Shipper 85,3,486,3
Shipper 847,1,478,1
Shipper 444,1,478,1
Shipper 201,4,473,4
Shipper 79,3,468,2
Shipper 892,1,467,1
Shipper 501,2,467,2
Shipper 7,4,464,3
Shipper 660,2,459,1
Shipper 121,2,446,2
Shipper 597,1,442,1
Shipper 550,2,439,2
Shipper 87,2,434,1
Shipper 460,2,434,2
Shipper 738,2,431,2
Shipper 599,2,429,2
Shipper 974,2,427,2
Shipper 791,3,424,3
Shipper 869,2,421,2
Shipper 583,1,415,1
Shipper 13,2,414,2
Shipper 906,4,413,4
Shipper 879,2,412,2
Shipper 795,3,401,1
Shipper 798,4,398,3
Shipper 225,1,396,1
Shipper 855,1,395,1
Shipper 671,3,386,3
Shipper 571,1,384,1
Shipper 304,3,384,2
Shipper 263,2,384,2
Shipper 408,3,379,3
Shipper 815,1,378,1
Shipper 44,4,377,4
Shipper 76,2,375,2
Shipper 877,5,374,4
Shipper 560,1,367,1
Shipper 228,1,356,1
Shipper 642,2,355,1
Shipper 422,2,353,2
Shipper 867,2,352,2
Shipper 845,1,351,1
Shipper 938,2,346,2
Shipper 295,3,345,3
Shipper 242,1,343,1
Shipper 754,2,343,2
Shipper 773,2,342,1
Shipper 654,1,339,1
Shipper 940,2,338,2
Shipper 509,2,337,2
Shipper 750,3,332,2
Shipper 10,2,330,2
Shipper 557,4,329,2
Shipper 732,1,327,1
Shipper 871,2,321,2
Shipper 227,2,307,2
Shipper 125,1,303,1
Shipper 424,1,292,1
Shipper 416,3,269,2
Shipper 144,1,267,1
Shipper 903,2,260,2
Shipper 507,1,258,1
Shipper 418,2,256,2
Shipper 43,2,256,2
Shipper 520,3,240,3
Shipper 632,2,236,2
Shipper 330,2,230,1
Shipper 45,2,227,2
Shipper 581,2,218,2
Shipper 421,1,215,1
Shipper 747,3,213,2
Shipper 714,1,209,1
Shipper 668,2,208,2
Shipper 701,1,205,1
Shipper 118,3,198,3
Shipper 881,2,197,2
Shipper 322,2,191,2
Shipper 397,1,189,1
Shipper 129,1,185,1
Shipper 135,2,183,2
Shipper 348,1,181,1
Shipper 306,1,181,1
Shipper 146,3,169,3
Shipper 688,2,164,2
Shipper 930,1,160,1
Shipper 777,1,153,1
Shipper 406,1,141,1
Shipper 695,1,137,1
Shipper 17,1,124,1
Shipper 246,1,111,1
Shipper 561,1,101,1
Shipper 788,1,90,1
Shipper 995,1,87,1
Shipper 4,1,86,1
Shipper 197,1,74,1
Shipper 327,1,72,1
Shipper 1000,1,55,1
Shipper 748,2,49,2
Shipper 579,1,37,1
Shipper 540,1,35,1
